s,p,0,1,2,3,4,5,6,7,8,9,10
0,22,498.6753,529.9474408,562.2001263,595.4641016,629.7710759,665.1537527,701.6458609,739.282187,778.0986081,818.1321263,859.4209041
0,23,1112.832,1099.756867,1086.758546,1073.836586,1060.99054,1048.21996,1035.524403,1022.90343,1010.356601,997.8834805,985.4836364
0,24,1294.9146,1302.001365,1309.107521,1316.233123,1323.378223,1330.542875,1337.727132,1344.931048,1352.154677,1359.398072,1366.661288
0,25,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758,294.1758
0,26,1215.5751,1229.447103,1243.398258,1257.429019,1271.539837,1285.731172,1300.003481,1314.357227,1328.792875,1343.310892,1357.911748
0,27,1484.3136,1503.379279,1522.567406,1541.878766,1561.314152,1580.874359,1600.560189,1620.372449,1640.311951,1660.379513,1680.575956
0,28,2960.3672,3090.319333,3225.976015,3367.587659,3515.415672,3669.732936,3830.824311,3998.987164,4174.531912,4357.7826,4549.0775
0,29,1178.76,1249.678825,1324.864405,1404.573444,1489.078091,1578.66687,1673.64566,1774.338748,1881.089926,1994.263674,2114.246399
0,30,2835.9604,2989.19096,3150.700762,3320.937145,3500.371617,3689.501162,3888.849618,4098.969126,4320.441659,4553.880635,4799.932618
0,31,2820.2416,3000.832847,3192.988067,3397.447747,3614.999792,3846.482555,4092.788078,4354.865519,4633.724817,4930.440582,5246.156233
0,32,3123.497,3331.313151,3552.955969,3789.345385,4041.462539,4310.353845,4597.135342,4902.997321,5229.209265,5577.125124,5948.188928
0,33,1475.1912,1566.024961,1662.451741,1764.815926,1873.483106,1988.841384,2111.30276,2241.3046,2379.311203,2525.815457,2681.340597
0,34,1471.849,1562.301556,1658.312878,1760.224581,1868.399273,1983.221847,2105.100847,2234.469928,2371.789392,2517.54783,2672.263862
0,35,2422.552,2785.9348,3203.82502,3684.398773,4237.058589,4872.617377,5603.509984,6444.036481,7410.641954,8522.238247,9800.573984
0,36,473.1116,544.07834,625.690091,719.5436047,827.4751453,951.5964171,1094.33588,1258.486262,1447.259201,1664.348081,1914.000293
1,1,1848.41496,1961.937117,2078.94531,2199.546587,2323.851285,2451.973129,2584.029334,2720.140719,2860.431808,3005.030952,3154.070443
1,2,1396.14841,1465.090026,1535.733805,1608.121775,1682.296999,1758.303603,1836.186806,1915.992939,1997.769481,2081.565079,2167.429586
1,3,394.8134883,420.574201,447.1753287,474.6442889,503.0093938,532.2998791,562.5459343,593.7787338,626.0304691,659.3343818,693.7247981
1,4,1580.659445,1604.824976,1629.175233,1653.711625,1678.435577,1703.348523,1728.451906,1753.747182,1779.235819,1804.919294,1830.799097
1,5,1651.948908,1756.96321,1865.315389,1977.111539,2092.461126,2211.477097,2334.275987,2460.978037,2591.707308,2726.591806,2865.763603
1,6,1304.409666,1338.752263,1373.546946,1408.799668,1444.516458,1480.703425,1517.366759,1554.51273,1592.147693,1630.278083,1668.910423
1,7,1011.765198,1019.698416,1027.662736,1035.65828,1043.685171,1051.743531,1059.833483,1067.955152,1076.108662,1084.294138,1092.511704
1,8,1032.061332,1032.180111,1032.298897,1032.41769,1032.536489,1032.655296,1032.774109,1032.892929,1033.011755,1033.130589,1033.24943
1,9,1304.721373,1319.702454,1334.769544,1349.923135,1365.163725,1380.491812,1395.9079,1411.412493,1427.006099,1442.68923,1458.4624
1,10,1295.948296,1335.956764,1376.582803,1417.835945,1459.725869,1502.262406,1545.455536,1589.315394,1633.852272,1679.07662,1724.999051
1,11,372.5141984,373.0713421,373.6289023,374.1868795,374.745274,375.3040861,375.863316,376.4229641,376.9830308,377.5435163,378.1044209
1,12,384.7201922,392.1116418,399.5740956,407.1082357,414.7147508,422.3943362,430.1476936,437.9755319,445.8785665,453.8575197,461.9131209
1,13,592.4684837,574.0826441,555.9820847,538.1623791,520.6191694,503.3481654,486.3451436,469.6059457,453.1264784,436.9027114,420.9306772
1,14,819.3405613,863.8202937,909.507367,956.4345526,1004.635512,1054.144819,1104.997989,1157.231497,1210.882811,1265.990417,1322.593841
1,15,746.1868124,735.4828793,724.8557192,714.3047816,703.8295198,693.429391,683.1038562,672.8523806,662.6744329,652.5694857,642.5370155
1,16,103.1189793,110.2999895,117.7310356,125.4208237,133.378363,141.6129762,150.1343108,158.9523502,168.0774254,177.5202271,187.2918182
1,17,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093,229.5226093
1,18,677.4713878,733.1458179,791.1079033,851.4516436,914.2749007,979.6795576,1047.771684,1118.661707,1192.464592,1269.300029,1349.292624
1,19,522.5812544,529.2327206,535.926517,542.6629131,549.44218,556.2645905,563.1304191,570.0399422,576.9934378,583.9911858,591.0334679
1,20,495.5973395,501.9023817,508.2475306,514.6330413,521.0591706,527.5261768,534.0343201,540.5838619,547.1750658,553.8081966,560.4835212
1,21,665.9928224,707.7460969,750.8081962,795.2201476,841.0242645,888.2641866,936.9849215,987.2328877,1039.055959,1092.503509,1147.62646
1,22,479.3576413,509.4183635,540.4216461,572.3970432,605.3750357,639.3870602,674.4655389,710.6439109,747.9566634,786.4393652,826.1287004
1,23,934.0524244,923.0778477,912.1677435,901.321733,890.5394397,879.8204892,869.1645095,858.5711306,848.0399847,837.5707063,827.1629318
1,24,1148.992078,1155.280242,1161.585614,1167.908239,1174.248166,1180.605441,1186.980112,1193.372226,1199.781832,1206.208977,1212.653709
1,25,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223,219.7589223
1,26,1239.947453,1254.09759,1268.328467,1282.640545,1297.034286,1311.510158,1326.068628,1340.710168,1355.435251,1370.244355,1385.137959
1,27,1409.484727,1427.589246,1445.810039,1464.147854,1482.603441,1501.177557,1519.870963,1538.684425,1557.618715,1576.674609,1595.852886
1,28,2712.697977,2831.7781,2956.085519,3085.849698,3221.310175,3362.717001,3510.331205,3664.425274,3825.283658,3993.203291,4168.494142
1,29,1079.219938,1144.150042,1212.986596,1285.964627,1363.333303,1445.356782,1532.315115,1624.505203,1722.241807,1825.858629,1935.709446
1,30,2028.326978,2137.920073,2253.434623,2375.190572,2503.52515,2638.793808,2781.371205,2931.652241,3090.053153,3257.012668,3432.993219
1,31,2008.805608,2137.437392,2274.30598,2419.938805,2574.897078,2739.777942,2915.216782,3101.889666,3300.515955,3511.861073,3736.739455
1,32,2900.310236,3093.277064,3299.082587,3518.581003,3752.683344,4002.361256,4268.65103,4552.657907,4855.56066,5178.616494,5523.166256
1,33,1317.008545,1398.102331,1484.189404,1575.577223,1672.592176,1775.58075,1884.910766,2000.972694,2124.181045,2254.975856,2393.824256
1,34,1326.565701,1408.089864,1494.624099,1586.4763,1683.973282,1787.461947,1897.310512,2013.909827,2137.674759,2269.045671,2408.489989
1,35,2044.525526,2351.204355,2703.885008,3109.46776,3575.887924,4112.271112,4729.111779,5438.478546,6254.250328,7192.387877,8271.246058
1,36,536.8494661,617.376886,709.9834189,816.4809317,938.9530714,1079.796032,1241.765437,1428.030253,1642.23479,1888.570009,2171.85551
2,1,1167.455524,1239.155912,1313.058074,1389.229621,1467.740242,1548.661765,1632.068224,1718.035927,1806.643523,1897.972079,1992.105151
2,2,855.3216739,897.5573401,940.835802,985.1828062,1030.624735,1077.188622,1124.902167,1173.793757,1223.892477,1275.228131,1327.831259
2,3,172.501232,183.7565584,195.3790774,207.3807684,219.7740014,232.57155,245.7866045,259.4327857,273.5241585,288.075247,303.1010486
2,4,616.8203989,626.2505093,635.7527046,645.3275359,654.9755584,664.6973317,674.4934196,684.3643899,694.3108153,704.3332724,714.4323425
2,5,995.505723,1058.789968,1124.0857,1191.456856,1260.969402,1332.691402,1406.693085,1483.046908,1561.827636,1643.112408,1726.980813
2,6,1791.66489,1838.835979,1886.628029,1935.049216,1984.107821,2033.812236,2084.170961,2135.192611,2186.885911,2239.259704,2292.322947
2,7,507.9426123,511.9253739,515.9237498,519.9378012,523.9675897,528.0131769,532.0746248,536.1519955,540.2453515,544.3547554,548.4802701
2,8,1375.839708,1375.998052,1376.156405,1376.314767,1376.473139,1376.631519,1376.789909,1376.948308,1377.106716,1377.265133,1377.423559
2,9,1474.717866,1491.650883,1508.681113,1525.809117,1543.035453,1560.360689,1577.78539,1595.310128,1612.935477,1630.662015,1648.490323
2,10,2218.142993,2286.621423,2356.156885,2426.765696,2498.464422,2571.269889,2645.199179,2720.269641,2796.498889,2873.90481,2952.505568
2,11,486.5976553,487.3254257,488.0537402,488.7825994,489.5120037,490.2419534,490.972449,491.7034908,492.4350794,493.167215,493.8998982
2,12,225.8879273,230.2278066,234.609376,239.033036,243.4991908,248.0082486,252.5606217,257.1567261,261.7969819,266.4818132,271.2116483
2,13,467.6353907,453.123447,438.836675,424.7715808,410.9247249,397.292721,383.8722354,370.6599861,357.652742,344.8473223,332.2405953
2,14,646.5547084,681.6543749,717.7067733,754.7377641,792.77391,831.8424945,871.9715416,913.1898362,955.5269444,999.0132349,1043.679901
2,15,406.5997041,400.7670949,394.9763197,389.2270783,383.5190729,377.8520077,372.2255891,366.6395256,361.0935276,355.5873079,350.1205811
2,16,39.43212363,42.17810194,45.01969261,47.96022478,51.00314348,54.15201373,57.41052466,60.78249385,64.2718718,67.88274659,71.61934862
2,17,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426,63.27451426
2,18,296.838069,321.2321477,346.6285759,373.0685403,400.5949195,429.2523542,459.0873194,490.1481995,522.4853673,556.1512654,591.200491
2,19,229.0350604,231.9502414,234.8839748,237.8363786,240.8075717,243.7976735,246.8068046,249.8350859,252.8826393,255.9495875,259.0360539
2,20,321.5094676,325.5997453,329.7160415,333.8585217,338.0273524,342.2227012,346.4447369,350.6936292,354.969549,359.2726681,363.6031595
2,21,380.0952001,403.9246149,428.5010018,453.8477758,479.989086,506.9498385,534.7557199,563.4332224,593.0096681,623.5132361,654.9729884
2,22,340.7204756,362.087202,384.1238867,406.8515363,430.2918162,454.467071,479.4003462,505.1154095,531.6367741,558.9897218,587.2003269
2,23,845.3971338,835.4642056,825.5896305,815.7730656,806.0141703,796.3126056,786.6680348,777.0801231,767.5485376,758.0729475,748.6530236
2,24,690.1423414,693.9193289,697.7066516,701.504338,705.3124163,709.1309149,712.9598624,716.7992874,720.6492185,724.5096845,728.3807142
2,25,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234,238.8123234
2,26,335.5548774,339.3841909,343.2353543,347.1084922,351.00373,354.9211938,358.8610104,362.8233074,366.808213,370.8158563,374.846367
2,27,603.9047769,611.6618,619.4686417,627.325622,635.2330629,643.1912884,651.2006248,659.2614002,667.3739451,675.5385919,683.7556753
2,28,1101.53719,1149.891701,1200.368844,1253.061798,1308.06783,1365.488479,1425.42974,1488.00226,1553.321544,1621.50817,1692.688004
2,29,422.8231982,448.2619003,475.2310944,503.822861,534.1348204,566.2704662,600.3395185,636.4582986,674.7501262,715.3457403,758.3837458
2,30,2066.458984,2178.1124,2295.798592,2419.84352,2550.590754,2688.402427,2833.660241,2986.76652,3148.145327,3318.243636,3497.532574
2,31,2339.581029,2489.393675,2648.799418,2818.412542,2998.886667,3190.917266,3395.244344,3612.655296,3843.987932,4090.133714,4352.041186
2,32,1915.259827,2042.688131,2178.594644,2323.543447,2478.136154,2643.014403,2818.862525,3006.410379,3206.436386,3419.770757,3647.29894
2,33,853.2346432,905.7719087,961.5441159,1020.750454,1083.602376,1150.324357,1221.154693,1296.346352,1376.16788,1460.904356,1550.858416
2,34,593.0395944,629.4848732,668.1698984,709.2323138,752.818222,799.0827045,848.1903731,900.3159561,955.6449194,1014.374127,1076.712541
2,35,1771.004844,2036.655571,2342.153906,2693.476992,3097.498541,3562.123322,4096.441821,4710.908094,5417.544308,6230.175954,7164.702347
2,36,261.2404414,300.4265076,345.4904837,397.3140563,456.9111647,525.4478394,604.2650153,694.9047676,799.1404828,919.0115552,1056.863288
